time,day,month,year,temp_open,temp_top,temp_5m,temp_10m,temp_20m,humidity_open,humidity_top,humidity_5m,humidity_10m,humidity_20m
14:35:01,15,7,2016,28.655,29.116,29.132,26.084,,28.522,27.828,45.301,42.496,
15:05:01,15,7,2016,24.656,24.117,24.633,24.584,,27.145,25.121,27.816,26.514,
15:35:01,15,7,2016,24.656,24.117,24.633,24.584,,27.145,25.8,28.481,27.198,
16:05:01,15,7,2016,24.656,24.117,25.133,25.084,,27.145,27.828,27.148,27.88,
16:35:01,15,7,2016,25.656,25.117,26.133,25.584,,27.834,28.501,29.146,27.88,
17:05:01,15,7,2016,25.156,25.617,25.633,25.584,,25.762,27.153,25.81,25.143,
17:35:01,15,7,2016,22.656,25.117,25.633,27.084,,29.892,35.809,37.009,39.239,
18:05:01,15,7,2016,21.655,25.117,26.633,27.084,,29.892,34.493,37.655,39.239,
18:35:01,15,7,2016,21.155,25.117,26.633,27.084,,31.934,38.424,37.009,39.893,
19:05:01,15,7,2016,20.154,25.117,26.633,27.084,,33.961,38.424,39.585,40.546,
19:35:01,15,7,2016,19.653,25.117,26.633,27.084,,33.287,40.37,37.655,38.583,
20:05:01,15,7,2016,19.153,24.617,26.633,27.084,,34.634,41.016,38.943,40.546,
20:35:01,15,7,2016,17.15,24.117,26.633,27.084,,37.971,37.12,38.943,40.546,
21:05:01,15,7,2016,17.15,24.617,26.633,27.084,,38.633,43.586,39.585,42.496,
21:35:01,15,7,2016,16.149,22.116,26.133,27.084,,41.266,42.304,38.943,39.893,
22:05:01,15,7,2016,16.149,22.116,26.133,27.084,,39.294,39.723,37.655,39.239,
22:35:01,15,7,2016,15.147,23.117,26.133,27.084,,42.572,42.945,37.009,37.925,
23:05:01,15,7,2016,14.646,19.614,25.633,27.084,,43.872,44.862,35.712,39.239,
23:35:01,15,7,2016,14.646,20.114,25.633,27.084,,43.223,42.304,37.009,36.606,
00:05:01,16,7,2016,15.147,19.614,25.633,27.084,,42.572,42.304,36.361,36.606,
00:35:01,16,7,2016,14.646,19.113,25.633,27.084,,41.266,41.661,35.062,36.606,
01:05:01,16,7,2016,15.147,18.613,25.633,27.084,,41.266,39.723,37.009,36.606,
01:35:01,16,7,2016,15.147,21.115,25.633,27.084,,41.92,41.661,34.41,36.606,
02:05:01,16,7,2016,14.646,18.613,25.633,26.584,,41.92,41.016,34.41,36.606,
02:35:01,16,7,2016,14.646,19.614,25.633,26.584,,41.266,43.586,34.41,33.948,
03:05:01,16,7,2016,14.646,17.611,25.633,26.584,,43.223,44.224,33.102,35.943,
03:35:01,16,7,2016,14.646,19.113,25.633,26.584,,43.223,39.074,34.41,34.615,
04:05:01,16,7,2016,14.646,22.616,26.133,27.084,,43.223,38.424,34.41,35.28,
04:35:01,16,7,2016,14.145,17.611,25.133,26.584,,42.572,40.37,35.062,33.948,
05:05:01,16,7,2016,14.145,17.11,25.133,26.584,,44.519,42.304,33.757,35.28,
05:35:01,16,7,2016,13.644,21.115,25.133,26.584,,45.809,38.424,33.757,35.28,
06:05:01,16,7,2016,12.642,21.616,25.633,26.584,,49.637,44.224,37.009,34.615,
06:35:01,16,7,2016,14.145,17.611,25.633,26.584,,43.223,41.016,34.41,34.615,
07:05:01,16,7,2016,15.648,21.115,25.633,26.584,,40.61,41.661,35.062,35.943,
07:35:01,16,7,2016,17.651,20.615,25.633,26.584,,35.305,35.809,33.102,33.948,
08:05:01,16,7,2016,20.154,21.115,25.633,26.584,,30.574,35.152,32.446,32.61,
08:35:01,16,7,2016,22.155,24.617,25.633,27.084,,26.454,29.172,32.446,34.615,
09:05:01,16,7,2016,25.156,25.617,26.133,27.084,,21.571,29.172,31.13,34.615,
09:35:01,16,7,2016,27.156,27.117,26.133,27.084,,18.744,23.76,31.789,33.948,
10:05:01,16,7,2016,30.154,29.116,26.633,27.084,,15.89,20.33,32.446,34.615,
10:35:01,16,7,2016,32.152,30.115,26.633,27.084,,12.285,17.561,33.757,37.266,
11:05:01,16,7,2016,33.151,31.114,26.633,27.084,,11.559,16.866,35.712,37.925,
11:35:01,16,7,2016,31.653,31.114,26.633,27.084,,13.009,18.256,36.361,37.266,
12:05:01,16,7,2016,29.655,31.114,26.633,27.084,,15.89,18.256,37.009,39.893,
12:35:01,16,7,2016,30.654,31.613,26.633,27.084,,14.453,16.866,36.361,39.239,
13:05:01,16,7,2016,31.153,32.113,26.633,27.084,,13.009,16.168,37.655,40.546,
13:35:01,16,7,2016,31.653,33.111,26.633,27.084,,13.009,16.168,39.585,40.546,
14:05:01,16,7,2016,31.153,33.111,26.633,27.084,,13.732,14.068,38.3,39.893,
14:35:01,16,7,2016,30.654,33.111,26.633,27.084,,13.009,14.068,38.3,40.546,
15:05:01,16,7,2016,31.153,32.612,26.633,27.084,,13.009,16.866,38.943,42.496,
15:35:01,16,7,2016,31.153,31.613,26.633,27.084,,13.009,18.256,40.865,41.848,
16:05:01,16,7,2016,30.154,27.117,26.633,27.084,,14.453,24.441,38.943,41.198,
16:35:01,16,7,2016,28.655,26.617,26.633,27.084,,14.453,25.8,38.943,39.893,
17:05:01,16,7,2016,27.156,28.616,29.132,27.584,,18.033,16.168,23.116,30.592,
17:35:01,16,7,2016,24.656,26.117,26.133,26.584,,23.674,32.509,31.789,35.28,
18:05:01,16,7,2016,23.156,25.617,26.133,26.584,,26.454,35.809,36.361,37.266,
18:35:01,16,7,2016,22.656,25.617,26.133,26.584,,29.892,37.12,36.361,37.266,
19:05:01,16,7,2016,21.655,25.617,26.133,26.584,,31.255,37.773,37.009,37.266,
19:35:01,16,7,2016,21.655,25.617,26.133,26.584,,30.574,39.074,37.655,38.583,
20:05:01,16,7,2016,20.654,25.617,26.133,26.584,,31.934,39.723,38.943,38.583,
20:35:01,16,7,2016,19.653,25.117,25.633,26.584,,33.961,41.016,38.3,40.546,
21:05:01,16,7,2016,17.651,25.117,25.633,26.584,,36.641,41.661,38.3,39.893,
21:35:01,16,7,2016,17.15,25.117,25.133,26.584,,37.971,40.37,38.943,38.583,
22:05:01,16,7,2016,17.15,25.117,25.133,26.584,,35.974,41.661,39.585,38.583,
22:35:01,16,7,2016,15.648,24.617,25.133,26.084,,39.294,40.37,37.655,38.583,
23:05:01,16,7,2016,15.648,24.117,25.133,26.084,,41.266,39.723,37.009,36.606,
